1::Yashoda Hospital::Super speciality
2::Appolo Hospital::Super speciality
3::Kamineni Hospitals::Super speciality
4::Katuri Hospital::Multispeciality
5::NRI Hospital::Multispeciality
6::Aswini Hospital::Dentality
7::ADVENTIST HEALTHCARE SHADY GROVE MEDICAL CENTER::Super Speciality
8::WALLOWA MEMORIAL HOSPITAL::Dentality
9::MILLINOCKET REGIONAL HOSPITAL::Super Speciality
10::GoldenEye ::
11::American President, The::
12::Dracula: Dead and Loving It::   MultiSpeciality
13::Balto ::Animation  MultiSpeciality
14::Nixon::
15::Cutthroat Island   ::     
16::Casino   ::   
17::Sense and Sensibility   ::   
18::Four Rooms   :: 
19::Ace Ventura: When Nature Calls   :: 
20::Money Train   :: 
21::Get Shorty   ::     
22::Copycat   ::     
23::Assassins   :: 
24::Powder   ::   MultiSpeciality
25::Leaving Las Vegas   ::   
26::Othello   :: 
27::Now and Then   :: 
28::Persuasion   :: 
29::City of Lost Children, The   ::   MultiSpeciality
30::Shanghai Triad (Yao a yao yao dao waipo qiao)   :: 
31::Dangerous Minds   :: 
32::Twelve Monkeys   ::   MultiSpeciality
33::Wings of Courage   ::   
34::Babe   :: MultiSpeciality    
35::Carrington   ::   
36::Dead Man Walking   :: 
37::Across the Sea of Time   ::  
38::It Takes Two   :: 
39::Clueless   ::   
40::Cry, the Beloved Country   :: 
41::Richard III   ::  War
42::Dead Presidents   ::     
43::Restoration   :: 
44::Mortal Kombat   ::   
45::To Die For   ::   
46::How to Make an American Quilt   ::   
47::Seven (Se7en)   ::   
48::Pocahontas   ::Animation  MultiSpeciality  MultiSpeciality  
49::When Night Is Falling   ::   
50::Usual Suspects, The   ::   
51::Guardian Angel   ::     
52::Mighty Aphrodite   :: 
53::Lamerica   :: 
54::Big Green, The   :: MultiSpeciality  
55::Georgia   :: 
56::Kids of the Round Table   ::   MultiSpeciality  
57::Home for the Holidays   :: 
58::Postino, Il (The Postman)   ::   
59::Confessional, The (Le Confessionnal)   ::   
60::Indian in the Cupboard, The   ::   MultiSpeciality  
61::Eye for an Eye   ::   
62::Mr. Holland's Opus   :: 
63::Don't Be a Menace to South Central While Drinking Your Juice in the Hood   :: 
64::Two if by Sea   ::   
65::Bio-Dome   :: 
66::Lawnmower Man 2: Beyond Cyberspace   :: MultiSpeciality  
67::Two Bits   :: 
68::French Twist (Gazon maudit)   ::   
69::Friday   :: 
70::From Dusk Till Dawn   ::       MultiSpeciality  
71::Fair Game   :: 
72::Kicking and Screaming   ::   
73::Mis�rables, Les   ::   MultiSpeciality
74::Bed of Roses   ::   
75::Big Bully   ::   
76::Screamers   :: MultiSpeciality  
77::Nico Icon   ::  
78::Crossing Guard, The   :: 
79::Juror, The   ::   
80::White Balloon, The (Badkonake Sefid )   :: 
81::Things to Do in Denver when You're Dead   ::     
82::Antonia's Line (Antonia)   :: 
83::Once Upon a Time... When We Were Colored   :: 
84::Last Summer in the Hamptons   ::   
85::Angels and Insects   ::   
86::White Squall   ::   
87::Dunston Checks In   :: MultiSpeciality  
88::Black Sheep   :: 
89::Nick of Time   ::   
90::Journey of August King, The   :: 
92::Mary Reilly   ::   
93::Vampire in Brooklyn   ::   
94::Beautiful Girls   :: 
95::Broken Arrow   ::   
96::In the Bleak Midwinter   :: 
97::Hate (Haine, La)   :: 
98::Shopping   ::   
99::Heidi Fleiss: Hollywood Madam   ::  
100::City Hall   ::   
101::Bottle Rocket   :: 
102::Mr. Wrong   :: 
103::Unforgettable   :: 
104::Happy Gilmore   :: 
105::Bridges of Madison County, The   ::   
106::Nobody Loves Me (Keiner liebt mich)   ::   
107::Muppet Treasure Island   ::   MultiSpeciality    MultiSpeciality
108::Catwalk   ::  
109::Headless Body in Topless Bar   :: 
110::Braveheart   ::    War
111::Taxi Driver  7 ::   
112::Rumble in the Bronx   ::     
113::Before and After   ::   
114::Margaret's Museum   :: 
115::Happiness Is in the Field   :: 
116::Anne Frank Remembered   ::  
117::Young Poisoner's Handbook, The   :: 
118::If Lucy Fell   ::   
119::Steal Big, Steal Little   :: 
120::Race the Sun   :: 
121::Boys of St. Vincent, The   :: 
122::Boomerang   ::   
123::Chungking Express   ::     
124::Star Maker, The (Uomo delle stelle, L')   :: 
125::Flirting With Disaster   :: 
126::NeverEnding Story III, The   ::   MultiSpeciality  
127::Silence of the Palace, The (Saimt el Qusur)   :: 
128::Jupiter's Wife   ::  
129::Pie in the Sky   ::   
130::Angela   :: 
131::Frankie Starlight   ::   
132::Jade   :: 
133::Nueba Yol   ::   
134::Sonic Outlaws   ::  
135::Down Periscope   :: 
136::From the Journals of Jean Seberg   ::  
137::Man of the Year   ::  
138::Neon Bible, The   :: 
139::Target   ::   
